reaction_smiles,shown_option_1,shown_option_1_slots,shown_option_2,shown_option_2_slots,user_choice,is_option_1_GT
[CH2:24]=[CH:25][S:26]([CH3:27])(=[O:28])=[O:29].[CH3:1][CH2:2][O:3][CH2:4][c:5]1[n:6][c:7]2[cH:8][n:9][c:10]3[cH:11][c:12]([Br:13])[cH:14][cH:15][c:16]3[c:17]2[n:18]1[CH2:19][C:20]([CH3:21])([CH3:22])[OH:23]>>[CH3:1][CH2:2][O:3][CH2:4][c:5]1[n:6][c:7]2[cH:8][n:9][c:10]3[cH:11][c:12]([Br:13])[cH:14][cH:15][c:16]3[c:17]2[n:18]1[CH2:19][C:20]([CH3:21])([CH3:22])[O:23][CH2:24][CH2:25][S:26]([CH3:27])(=[O:28])=[O:29],"C1CCOC1, O, [H-].[Na+]","Solvent, Reagent, Reagent","C1CCOC1, [H-].[Na+], O","Solvent, Reagent, Reagent",Bad,True
[CH2:10]=[CH:9][S:6](=[O:7])(=[O:8])[c:5]1[cH:4][cH:3][c:2]([CH3:1])[cH:16][cH:15]1.[CH3:12][SnH:11]([CH3:13])[CH3:14]>>[CH3:1][c:2]1[cH:3][cH:4][c:5]([S:6](=[O:7])(=[O:8])[CH2:9][CH2:10][Sn:11]([CH3:12])([CH3:13])[CH3:14])[cH:15][cH:16]1,C1CCOC1,Solvent,CN(C)C=O,Solvent,Bad,True
[CH3:30][CH:29]([CH3:31])[c:28]1[n:32][c:25]([CH2:24][N:22]([CH3:23])[C:20](=[O:21])[NH:19][C@H:18]([C:16](=[O:17])[NH:15][C@@H:7]([CH2:8][c:9]2[cH:10][cH:11][cH:12][cH:13][cH:14]2)[CH2:6][C@H:5]([OH:4])[C@H:36]([CH2:37][c:38]2[cH:39][cH:40][cH:41][cH:42][cH:43]2)[NH:44][C:45](=[O:46])[O:47][CH2:48][c:49]2[cH:50][n:51][cH:52][s:53]2)[CH:33]([CH3:34])[CH3:35])[cH:26][s:27]1.[CH3:1][S:2][CH3:3]>>[CH3:1][S:2][CH2:3][O:4][C@@H:5]([CH2:6][C@H:7]([CH2:8][c:9]1[cH:10][cH:11][cH:12][cH:13][cH:14]1)[NH:15][C:16](=[O:17])[C@@H:18]([NH:19][C:20](=[O:21])[N:22]([CH3:23])[CH2:24][c:25]1[cH:26][s:27][c:28]([CH:29]([CH3:30])[CH3:31])[n:32]1)[CH:33]([CH3:34])[CH3:35])[C@H:36]([CH2:37][c:38]1[cH:39][cH:40][cH:41][cH:42][cH:43]1)[NH:44][C:45](=[O:46])[O:47][CH2:48][c:49]1[cH:50][n:51][cH:52][s:53]1,"CC#N, CCOC(C)=O, O=C(OOC(=O)c1ccccc1)c1ccccc1","Solvent, Solvent, Reagent","CC#N, CCOC(C)=O, O=C(OOC(=O)c1ccccc1)c1ccccc1","Solvent, Solvent, Reagent",Invalid Reaction,True
[CH3:1][CH2:2][CH2:3][O:4][C:5](=[O:6])[N:7]([CH3:8])[S:9][NH:10][c:24]1[cH:25][cH:26][c:27]([O:28][c:29]2[cH:30][cH:31][c:32]([C:33]([F:34])([F:35])[F:36])[cH:37][c:38]2[Cl:39])[cH:40][c:41]1[F:42].[O:12]=[C:11]=[N:13][C:14](=[O:15])[c:16]1[c:17]([F:18])[cH:19][cH:20][cH:21][c:22]1[F:23]>>[CH3:1][CH2:2][CH2:3][O:4][C:5](=[O:6])[N:7]([CH3:8])[S:9][N:10]([C:11](=[O:12])[NH:13][C:14](=[O:15])[c:16]1[c:17]([F:18])[cH:19][cH:20][cH:21][c:22]1[F:23])[c:24]1[cH:25][cH:26][c:27]([O:28][c:29]2[cH:30][cH:31][c:32]([C:33]([F:34])([F:35])[F:36])[cH:37][c:38]2[Cl:39])[cH:40][c:41]1[F:42],ClCCl,Solvent,ClCCl,Solvent,Tie,True
[CH3:1][CH2:2][CH2:3][C:4](=[O:5])[N:6]([CH3:7])[S:8][NH:9][c:23]1[cH:24][cH:25][c:26]([O:27][c:28]2[cH:29][cH:30][c:31]([C:32]([F:33])([F:34])[F:35])[cH:36][c:37]2[Cl:38])[cH:39][c:40]1[F:41].[O:11]=[C:10]=[N:12][C:13](=[O:14])[c:15]1[c:16]([F:17])[cH:18][cH:19][cH:20][c:21]1[F:22]>>[CH3:1][CH2:2][CH2:3][C:4](=[O:5])[N:6]([CH3:7])[S:8][N:9]([C:10](=[O:11])[NH:12][C:13](=[O:14])[c:15]1[c:16]([F:17])[cH:18][cH:19][cH:20][c:21]1[F:22])[c:23]1[cH:24][cH:25][c:26]([O:27][c:28]2[cH:29][cH:30][c:31]([C:32]([F:33])([F:34])[F:35])[cH:36][c:37]2[Cl:38])[cH:39][c:40]1[F:41],Cc1ccccc1,Solvent,Cc1ccccc1,Solvent,Tie,False
[CH3:1][CH2:2][O:3][C:4](=[O:5])[C:6]([CH3:7])([S:8][NH:9][c:23]1[cH:24][cH:25][c:26]([O:27][c:28]2[cH:29][cH:30][c:31]([C:32]([F:33])([F:34])[F:35])[cH:36][c:37]2[Cl:38])[cH:39][c:40]1[F:41])[C:42](=[O:43])[O:44][CH2:45][CH3:46].[O:11]=[C:10]=[N:12][C:13](=[O:14])[c:15]1[c:16]([F:17])[cH:18][cH:19][cH:20][c:21]1[F:22]>>[CH3:1][CH2:2][O:3][C:4](=[O:5])[C:6]([CH3:7])([S:8][N:9]([C:10](=[O:11])[NH:12][C:13](=[O:14])[c:15]1[c:16]([F:17])[cH:18][cH:19][cH:20][c:21]1[F:22])[c:23]1[cH:24][cH:25][c:26]([O:27][c:28]2[cH:29][cH:30][c:31]([C:32]([F:33])([F:34])[F:35])[cH:36][c:37]2[Cl:38])[cH:39][c:40]1[F:41])[C:42](=[O:43])[O:44][CH2:45][CH3:46],Cc1ccccc1,Solvent,Cc1ccccc1,Solvent,Tie,False
[CH3:1][O:2][c:3]1[cH:4][c:5]([N:6]=[C:7]=[O:8])[cH:20][c:21]([O:22][CH3:23])[cH:24]1.[O:18]=[S:17]1(=[O:19])[NH:16][c:15]2[cH:14][cH:13][cH:12][cH:11][c:10]2[NH:9]1>>[CH3:1][O:2][c:3]1[cH:4][c:5]([NH:6][C:7](=[O:8])[N:9]2[c:10]3[cH:11][cH:12][cH:13][cH:14][c:15]3[NH:16][S:17]2(=[O:18])=[O:19])[cH:20][c:21]([O:22][CH3:23])[cH:24]1,"C1CCOC1, CCN(CC)CC","Solvent, Reagent",,,Option 1,True
[CH:10]#[C:11][c:12]1[cH:13][cH:14][cH:15][cH:16][c:17]1[Cl:18].[CH3:1][c:2]1[cH:3][cH:4][c:5]([S:6](=[O:7])(=[O:8])[N:9]=[N+:20]=[N-:19])[cH:21][cH:22]1>>[CH3:1][c:2]1[cH:3][cH:4][c:5]([S:6](=[O:7])(=[O:8])[n:9]2[cH:10][c:11](-[c:12]3[cH:13][cH:14][cH:15][cH:16][c:17]3[Cl:18])[n:19][n:20]2)[cH:21][cH:22]1,"ClC(Cl)Cl, Cc1cccc(C)n1","Solvent, Reagent",,,Bad,True
[CH3:1][CH2:2][O:3][C:4](=[O:5])[CH:6]([CH2:7][CH:8]=[C:9]1[CH2:10][CH2:11][O:12][CH2:13][CH2:14]1)[NH:15][S:16](=[O:17])(=[O:18])[c:19]1[cH:20][cH:21][c:22]([N+:23](=[O:24])[O-:25])[cH:26][cH:27]1>>[CH3:1][CH2:2][O:3][C:4](=[O:5])[CH:6]1[CH2:7][CH2:8][C:9]2([CH2:10][CH2:11][O:12][CH2:13][CH2:14]2)[N:15]1[S:16](=[O:17])(=[O:18])[c:19]1[cH:20][cH:21][c:22]([N+:23](=[O:24])[O-:25])[cH:26][cH:27]1,"CC#N, CCOC(C)=O, C1CCC2=NCCCN2CC1","Solvent, Solvent, Reagent","ClC(Cl)Cl, ClCCl, O=S(=O)(O)C(F)(F)F","Solvent, Solvent, Reagent",Option 2,False
[CH3:1][c:2]1[cH:3][cH:4][c:5]([CH3:6])[c:7]([N:8]2[CH2:9][CH2:10][N:11]([C:12](=[O:13])[CH:14]3[CH2:15][N:16]3[S:17](=[O:18])(=[O:19])[c:20]3[cH:21][cH:22][cH:23][cH:24][cH:25]3)[CH2:35][CH2:36]2)[cH:37]1.[O:27]=[C:26]=[N:28][c:29]1[cH:30][cH:31][cH:32][cH:33][cH:34]1>>[CH3:1][c:2]1[cH:3][cH:4][c:5]([CH3:6])[c:7]([N:8]2[CH2:9][CH2:10][N:11]([C:12](=[O:13])[CH:14]3[CH2:15][N:16]([S:17](=[O:18])(=[O:19])[c:20]4[cH:21][cH:22][cH:23][cH:24][cH:25]4)[C:26](=[O:27])[N:28]3[c:29]3[cH:30][cH:31][cH:32][cH:33][cH:34]3)[CH2:35][CH2:36]2)[cH:37]1,[I-].[Na+],Reagent,"C1CCOC1, CCOC(C)=O, [I-].[Na+]","Solvent, Solvent, Reagent",Option 2,False
[CH3:1][O:2][C:3](=[O:4])[CH:5]1[CH2:6][N:7]1[S:8](=[O:9])(=[O:10])[c:11]1[cH:12][cH:13][cH:14][c:15]([O:16][CH3:17])[cH:18]1.[O:20]=[C:19]=[N:21][c:22]1[cH:23][cH:24][cH:25][cH:26][cH:27]1>>[CH3:1][O:2][C:3](=[O:4])[CH:5]1[CH2:6][N:7]([S:8](=[O:9])(=[O:10])[c:11]2[cH:12][cH:13][cH:14][c:15]([O:16][CH3:17])[cH:18]2)[C:19](=[O:20])[N:21]1[c:22]1[cH:23][cH:24][cH:25][cH:26][cH:27]1,[I-].[Na+],Reagent,"C1CCOC1, CCOC(C)=O, [I-].[Na+]","Solvent, Solvent, Reagent",Option 2,False
[CH3:1][CH2:2][O:3][C:4](=[O:5])/[CH:6]=[CH:7]/[CH:8]=[O:9].[CH3:30][O:29][c:28]1[cH:27][cH:26][c:25](/[CH:24]=[CH:23]/[CH:22]=[N:10][S:11](=[O:12])(=[O:13])[c:14]2[cH:15][cH:16][c:17]([O:18][CH3:19])[cH:20][cH:21]2)[cH:32][cH:31]1>>[CH3:1][CH2:2][O:3][C:4](=[O:5])[CH2:6][C@@H:7]1[C:8](=[O:9])[N:10]([S:11](=[O:12])(=[O:13])[c:14]2[cH:15][cH:16][c:17]([O:18][CH3:19])[cH:20][cH:21]2)[CH:22]=[CH:23][C@@H:24]1[c:25]1[cH:26][cH:27][c:28]([O:29][CH3:30])[cH:31][cH:32]1,ClC(Cl)Cl,Solvent,,,Bad,True
[CH3:1][CH:2]([CH3:3])[CH:4]1[CH2:5][N:14]1[S:15](=[O:16])(=[O:17])[c:18]1[c:19]([Cl:20])[cH:21][c:22]([Cl:23])[cH:24][c:25]1[Cl:26].[CH3:7][NH:6][c:8]1[cH:9][cH:10][cH:11][cH:12][cH:13]1>>[CH3:1][CH:2]([CH3:3])[CH:4]([CH2:5][N:6]([CH3:7])[c:8]1[cH:9][cH:10][cH:11][cH:12][cH:13]1)[NH:14][S:15](=[O:16])(=[O:17])[c:18]1[c:19]([Cl:20])[cH:21][c:22]([Cl:23])[cH:24][c:25]1[Cl:26],Cc1ccccc1,Solvent,C1CCOC1,Solvent,Tie,False
[CH3:1][O:2][C:3](=[O:4])[CH2:5][c:6]1[cH:7][cH:8][c:9]2[c:10]([cH:11]1)[N:12](Cc1ccccc1)[S:13](=[O:14])(=[O:15])[CH2:16]2>>[CH3:1][O:2][C:3](=[O:4])[CH2:5][c:6]1[cH:7][cH:8][c:9]2[c:10]([cH:11]1)[NH:12][S:13](=[O:14])(=[O:15])[CH2:16]2,"[Pd], CCOCC, CCO","Catalyst, Solvent, Solvent","[Pd], CO","Catalyst, Solvent",Bad,False
[CH3:1][CH2:2][CH:3]1[CH2:4][C:5](=[O:6])[CH2:7][C:21](=[O:22])[CH2:23]1.[CH3:18][c:17]1[cH:16][cH:15][c:14]([S:11](=[O:12])(=[O:13])[N:10]=[C:8]=[O:9])[cH:20][cH:19]1>>[CH3:1][CH2:2][CH:3]1[CH2:4][C:5](=[O:6])[CH:7]([C:8](=[O:9])[NH:10][S:11](=[O:12])(=[O:13])[c:14]2[cH:15][cH:16][c:17]([CH3:18])[cH:19][cH:20]2)[C:21](=[O:22])[CH2:23]1,c1ccccc1,Solvent,c1ccccc1,Solvent,Bad,False
[CH3:1][CH:2]([CH3:3])[CH:4]1[CH2:5][C:6](=[O:7])[CH2:8][C:21](=[O:22])[CH2:23]1.[O:10]=[C:9]=[N:11][S:12](=[O:13])(=[O:14])[c:15]1[cH:16][cH:17][cH:18][cH:19][cH:20]1>>[CH3:1][CH:2]([CH3:3])[CH:4]1[CH2:5][C:6](=[O:7])[CH:8]([C:9](=[O:10])[NH:11][S:12](=[O:13])(=[O:14])[c:15]2[cH:16][cH:17][cH:18][cH:19][cH:20]2)[C:21](=[O:22])[CH2:23]1,c1ccccc1,Solvent,c1ccccc1,Solvent,Bad,False
[CH3:1][CH2:2][CH2:3][CH:4]1[CH2:5][C:6](=[O:7])[CH2:8][C:22](=[O:23])[CH2:24]1.[CH3:19][c:18]1[cH:17][cH:16][c:15]([S:12](=[O:13])(=[O:14])[N:11]=[C:9]=[O:10])[cH:21][cH:20]1>>[CH3:1][CH2:2][CH2:3][CH:4]1[CH2:5][C:6](=[O:7])[CH:8]([C:9](=[O:10])[NH:11][S:12](=[O:13])(=[O:14])[c:15]2[cH:16][cH:17][c:18]([CH3:19])[cH:20][cH:21]2)[C:22](=[O:23])[CH2:24]1,c1ccccc1,Solvent,c1ccccc1,Solvent,Bad,False
