reaction_smiles,shown_option_1,shown_option_1_slots,shown_option_2,shown_option_2_slots,user_choice,is_option_1_GT
[CH3:1][CH2:2][O:3][P:4](=[O:5])([CH2:6][CH:7](Br)[CH2:8][Br:9])[O:10][CH2:11][CH3:12]>>[CH3:1][CH2:2][O:3][P:4](=[O:5])(/[CH:6]=[CH:7]\[CH2:8][Br:9])[O:10][CH2:11][CH3:12],"CC(C)(C)O, CC(C)(C)[O-].[K+]","Solvent, Reagent","C1CCOC1, CCN(CC)CC","Solvent, Reagent",Option 1,True
[CH3:15][C:14](=O)[C:16](=[CH:27][c:28]1[cH:29][cH:30][cH:31][c:32]([N+:33](=[O:34])[O-:35])[cH:36]1)[P:17](=[O:18])([O:19][CH:20]([CH3:21])[CH3:22])[O:23][CH:24]([CH3:25])[CH3:26].[CH3:1][CH2:2][CH2:3][O:4][CH2:5][CH2:6][O:7][C:8](=[O:9])/[CH:10]=[C:11](/[CH3:12])[NH2:13]>>[CH3:1][CH2:2][CH2:3][O:4][CH2:5][CH2:6][O:7][C:8](=[O:9])[C:10]1=[C:11]([CH3:12])[NH:13][C:14]([CH3:15])=[C:16]([P:17](=[O:18])([O:19][CH:20]([CH3:21])[CH3:22])[O:23][CH:24]([CH3:25])[CH3:26])[CH:27]1[c:28]1[cH:29][cH:30][cH:31][c:32]([N+:33](=[O:34])[O-:35])[cH:36]1,CC(C)O,Solvent,CC(C)O,Solvent,Tie,False
O=[CH:4][C@H:5]1[O:6][C@H:7]([CH2:8][O:9][CH2:10][c:11]2[cH:12][cH:13][cH:14][cH:15][cH:16]2)[C@@H:17]([O:18][CH2:19][c:20]2[cH:21][cH:22][cH:23][cH:24][cH:25]2)[C@@H:26]1[O:27][CH2:28][c:29]1[cH:30][cH:31][cH:32][cH:33][cH:34]1.[O:1]=[P:2]([CH:3]=P(c1ccccc1)(c1ccccc1)c1ccccc1)([O:35][c:36]1[cH:37][cH:38][cH:39][cH:40][cH:41]1)[O:42][c:43]1[cH:44][cH:45][cH:46][cH:47][cH:48]1>>[O:1]=[P:2]([CH:3]=[CH:4][C@H:5]1[O:6][C@H:7]([CH2:8][O:9][CH2:10][c:11]2[cH:12][cH:13][cH:14][cH:15][cH:16]2)[C@@H:17]([O:18][CH2:19][c:20]2[cH:21][cH:22][cH:23][cH:24][cH:25]2)[C@@H:26]1[O:27][CH2:28][c:29]1[cH:30][cH:31][cH:32][cH:33][cH:34]1)([O:35][c:36]1[cH:37][cH:38][cH:39][cH:40][cH:41]1)[O:42][c:43]1[cH:44][cH:45][cH:46][cH:47][cH:48]1,ClCCl,Solvent,Cc1ccccc1,Solvent,Tie,False
[CH3:1][CH2:2][O:3][P:4](=[O:5])([CH2:6]CO)[O:15][CH2:16][CH3:17].O=S(=O)([O:7][S:8](=[O:9])(=[O:10])[C:11]([F:12])([F:13])[F:14])C(F)(F)F>>[CH3:1][CH2:2][O:3][P:4](=[O:5])([CH2:6][O:7][S:8](=[O:9])(=[O:10])[C:11]([F:12])([F:13])[F:14])[O:15][CH2:16][CH3:17],"CCOCC, ClCCl, Cc1cccc(C)n1","Solvent, Solvent, Reagent",Cc1cccc(C)n1,Reagent,Option 1,True
CCO[C:6](=[O:7])[C:8]1([F:9])[CH2:10][CH2:11][C:12]([F:13])([F:14])[CH2:15][CH2:16]1.[CH3:1][O:2][P:3]([CH3:5])(=[O:4])[O:17][CH3:18]>>[CH3:1][O:2][P:3](=[O:4])([CH2:5][C:6](=[O:7])[C:8]1([F:9])[CH2:10][CH2:11][C:12]([F:13])([F:14])[CH2:15][CH2:16]1)[O:17][CH3:18],C1CCOC1,Solvent,"C1CCOC1, [CH2]CCC.[Li]","Solvent, Reagent",Option 2,True
CCO[C:6](=[O:7])[CH2:8][O:9][c:10]1[cH:11][cH:12][cH:13][n:14][cH:15]1.[CH3:17][O:16][P:3]([CH3:5])(=[O:4])[O:2][CH3:1]>>[CH3:1][O:2][P:3](=[O:4])([CH2:5][C:6](=[O:7])[CH2:8][O:9][c:10]1[cH:11][cH:12][cH:13][n:14][cH:15]1)[O:16][CH3:17],"C1CCOC1, CCCCCC, Cl","Solvent, Solvent, Reagent","CC(=O)O, [CH2]CCC.[Li], C1CCOC1","Solvent, Reagent, Reagent",Option 2,True
CCO[C:6](=[O:7])[C:8]([CH3:9])([F:10])[F:11].[CH3:1][O:2][P:3]([CH3:5])(=[O:4])[O:12][CH3:13]>>[CH3:1][O:2][P:3](=[O:4])([CH2:5][C:6](=[O:7])[C:8]([CH3:9])([F:10])[F:11])[O:12][CH3:13],C1CCOC1,Solvent,"C1CCOC1, [CH2]CCC.[Li]","Solvent, Reagent",Option 2,True
CO[C:6](=[O:7])[C@H:8]([CH2:9][c:10]1[cH:11][cH:12][cH:13][cH:14][cH:15]1)[NH:16][C:17](=[O:18])[c:19]1[cH:20][cH:21][cH:22][cH:23][cH:24]1.[CH3:1][O:2][P:3]([CH3:5])(=[O:4])[O:25][CH3:26]>>[CH3:1][O:2][P:3](=[O:4])([CH2:5][C:6](=[O:7])[C@H:8]([CH2:9][c:10]1[cH:11][cH:12][cH:13][cH:14][cH:15]1)[NH:16][C:17](=[O:18])[c:19]1[cH:20][cH:21][cH:22][cH:23][cH:24]1)[O:25][CH3:26],"C1CCOC1, CC(=O)O","Solvent, Reagent","C1CCOC1, [CH2]CCC.[Li]","Solvent, Reagent",Option 2,True
[CH3:1][CH2:2][CH2:3][CH2:4][CH2:5][C:6](=[O:7])OC.[CH3:12][O:11][P:9]([CH3:8])(=[O:10])[O:13][CH3:14]>>[CH3:1][CH2:2][CH2:3][CH2:4][CH2:5][C:6](=[O:7])[CH2:8][P:9](=[O:10])([O:11][CH3:12])[O:13][CH3:14],"C1CCOC1, CC(=O)O","Solvent, Reagent","C1CCOC1, CC(=O)O, [CH2]CCC.[Li]","Solvent, Solvent, Reagent",Option 2,True
[CH3:1][CH2:2][CH2:3][CH2:4][CH:5]([F:6])[C:7](=[O:8])OC.[CH3:13][O:12][P:10]([CH3:9])(=[O:11])[O:14][CH3:15]>>[CH3:1][CH2:2][CH2:3][CH2:4][CH:5]([F:6])[C:7](=[O:8])[CH2:9][P:10](=[O:11])([O:12][CH3:13])[O:14][CH3:15],"C1CCOC1, CC(=O)O, [CH2]CCC.[Li]","Solvent, Solvent, Reagent",C1CCOC1,Solvent,Option 1,False
