evaluation_id,source_index,reaction_smiles,condition_a,condition_a_slots,condition_b,condition_b_slots
34,40263,C([O:3][C:4](=[O:22])[CH:5]([O:7][C:8]1[CH:13]=[C:12]([C:14]([F:17])([F:16])[F:15])[CH:11]=[C:10]([C:18]([F:21])([F:20])[F:19])[CH:9]=1)[CH3:6])C>>[F:15][C:14]([F:16])([F:17])[C:12]1[CH:13]=[C:8]([CH:9]=[C:10]([C:18]([F:21])([F:20])[F:19])[CH:11]=1)[O:7][CH:5]([CH3:6])[C:4]([OH:22])=[O:3],"CCO, O, [Na+].[OH-], Cl","Solvent, Solvent, Reagent, Reagent","O, [Na+].[OH-]","Solvent, Reagent"
35,42224,[CH3:1][N:2]([CH3:14])[CH2:3][CH2:4][CH2:5][N:6]([CH3:13])[CH2:7][CH2:8][C:9]([CH3:12])([NH2:11])[CH3:10].[C:25](ON1C(=O)CCC1=O)([O:27][CH2:28][C:29]1[CH:34]=[CH:33][CH:32]=[CH:31][CH:30]=1)=[O:26]>>[CH3:14][N:2]([CH3:1])[CH2:3][CH2:4][CH2:5][N:6]([CH3:13])[CH2:7][CH2:8][C:9]([NH:11][C:25](=[O:26])[O:27][CH2:28][C:29]1[CH:34]=[CH:33][CH:32]=[CH:31][CH:30]=1)([CH3:10])[CH3:12],"O, O=C([O-])O.[Na+], C1CCOC1","Solvent, Reagent, Reagent",C1CCOC1,Solvent
36,24231,[NH2:1][C:2]1[CH:3]=[C:4]2[C:8](=[CH:9][CH:10]=1)[NH:7][CH:6]=[CH:5]2.Cl[C:12]1[C:17]([N+:18]([O-:20])=[O:19])=[CH:16][CH:15]=[CH:14][N:13]=1>>[N+:18]([C:17]1[C:12]([NH:1][C:2]2[CH:3]=[C:4]3[C:8](=[CH:9][CH:10]=2)[NH:7][CH:6]=[CH:5]3)=[N:13][CH:14]=[CH:15][CH:16]=1)([O-:20])=[O:19],"CCO, CCN(CC)CC","Solvent, Reagent",None,
37,46774,[CH3:1][N:2]1[CH:6]=[CH:5][N:4]=[C:3]1[CH:7]1[CH2:12][CH2:11][CH:10]([OH:13])[CH2:9][CH2:8]1.[Si:14](Cl)([C:17]([CH3:20])([CH3:19])[CH3:18])([CH3:16])[CH3:15]>>[Si:14]([O:13][CH:10]1[CH2:11][CH2:12][CH:7]([C:3]2[N:2]([CH3:1])[CH:6]=[CH:5][N:4]=2)[CH2:8][CH2:9]1)([C:17]([CH3:20])([CH3:19])[CH3:18])([CH3:16])[CH3:15],"CN(C)c1ccncc1, ClCCl, c1c[nH]cn1","Catalyst, Solvent, Reagent","CN(C)C=O, c1c[nH]cn1","Solvent, Reagent"
38,40211,C([O:5][C:6](=[O:22])[CH2:7][C:8]1[CH:9]=[CH:10][C:11]2[C:15]3[C:16]([Cl:20])=[CH:17][CH:18]=[CH:19][C:14]=3[S:13][C:12]=2[CH:21]=1)C>>[Cl:20][C:16]1[C:15]2[C:11]3[CH:10]=[CH:9][C:8]([CH2:7][C:6]([OH:22])=[O:5])=[CH:21][C:12]=3[S:13][C:14]=2[CH:19]=[CH:18][CH:17]=1,"CCO, [K+].[OH-]","Solvent, Reagent","O, CO, [Na+].[OH-]","Solvent, Solvent, Reagent"
39,24878,[Cl:1][C:2]1[CH:7]=[C:6](Cl)[N:5]2[N:9]=[C:10]([C:12]3[CH:17]=[CH:16][C:15]([CH3:18])=[CH:14][CH:13]=3)[CH:11]=[C:4]2[N:3]=1.[NH:19]1[CH2:24][CH2:23][O:22][CH2:21][CH2:20]1>>[Cl:1][C:2]1[CH:7]=[C:6]([N:19]2[CH2:24][CH2:23][O:22][CH2:21][CH2:20]2)[N:5]2[N:9]=[C:10]([C:12]3[CH:17]=[CH:16][C:15]([CH3:18])=[CH:14][CH:13]=3)[CH:11]=[C:4]2[N:3]=1,"C1COCCO1, O","Solvent, Solvent",C1COCCO1,Solvent
40,1435,[CH3:1][O:2][C:3](=[O:21])[C:4]1[CH:9]=[C:8]([N+:10]([O-])=O)[CH:7]=[CH:6][C:5]=1[O:13][Si:14]([C:17]([CH3:20])([CH3:19])[CH3:18])([CH3:16])[CH3:15]>>[CH3:1][O:2][C:3](=[O:21])[C:4]1[CH:9]=[C:8]([NH2:10])[CH:7]=[CH:6][C:5]=1[O:13][Si:14]([C:17]([CH3:19])([CH3:18])[CH3:20])([CH3:15])[CH3:16],"[Pd], CCO, [HH]","Catalyst, Solvent, Reagent","[Pd], CO","Catalyst, Solvent"
41,46694,[CH2:1]([OH:22])[CH:2]([OH:21])[CH2:3][CH2:4][CH2:5][CH2:6][CH2:7][CH2:8][CH2:9][CH2:10][CH2:11][CH2:12][CH2:13][CH2:14][CH2:15][CH2:16][CH2:17][CH2:18][CH2:19][CH3:20].[CH3:28][C:29]([Si:32](Cl)([CH3:34])[CH3:33])([CH3:31])[CH3:30]>>[Si:32]([O:22][CH2:1][CH:2]([OH:21])[CH2:3][CH2:4][CH2:5][CH2:6][CH2:7][CH2:8][CH2:9][CH2:10][CH2:11][CH2:12][CH2:13][CH2:14][CH2:15][CH2:16][CH2:17][CH2:18][CH2:19][CH3:20])([C:29]([CH3:31])([CH3:30])[CH3:28])([CH3:34])[CH3:33],"CN(C)C=O, c1c[nH]cn1","Solvent, Reagent","ClCCl, c1c[nH]cn1","Solvent, Reagent"
42,48677,[C:1]([C:3]1([OH:12])[CH2:7][CH2:6][CH:5]([C:8](OC)=[O:9])[CH2:4]1)#[CH:2]>>[C:1]([C:3]1([OH:12])[CH2:7][CH2:6][CH:5]([CH2:8][OH:9])[CH2:4]1)#[CH:2],"C1CCOC1, [Al+3].[H-].[H-].[H-].[H-].[Li+]","Solvent, Reagent","C1CCOC1, [BH4-].[Li+]","Solvent, Reagent"
43,60096,[Cl:1][C:2]1[N:3]=[C:4]([O:26][CH3:27])[C:5]([N:8]([C:19]([O:21][CH2:22][CH:23]([CH3:25])[CH3:24])=[O:20])[S:9]([C:12]2[CH:17]=[CH:16][CH:15]=[CH:14][C:13]=2I)(=[O:11])=[O:10])=[N:6][CH:7]=1.[O:28]1[CH2:33][CH2:32][CH2:31][CH2:30][CH:29]1[O:34][C:35]1[CH:40]=[CH:39][C:38](B(O)O)=[CH:37][CH:36]=1>>[Cl:1][C:2]1[N:3]=[C:4]([O:26][CH3:27])[C:5]([N:8]([C:19]([O:21][CH2:22][CH:23]([CH3:25])[CH3:24])=[O:20])[S:9]([C:12]2[C:13]([C:38]3[CH:39]=[CH:40][C:35]([O:34][CH:29]4[CH2:30][CH2:31][CH2:32][CH2:33][O:28]4)=[CH:36][CH:37]=3)=[CH:14][CH:15]=[CH:16][CH:17]=2)(=[O:11])=[O:10])=[N:6][CH:7]=1,None,,"[Pd].c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1, COCCOC, O=C([O-])[O-].[Na+].[Na+]","Catalyst, Solvent, Reagent"
44,23371,[Br:1][C:2]1[C:3](Cl)=[N:4][C:5]([Cl:8])=[N:6][CH:7]=1.[N+:17]([C:20]1[CH:21]=[C:22]([CH:29]=[CH:30][CH:31]=1)[O:23][CH2:24][CH2:25][CH2:26][CH2:27][NH2:28])([O-:19])=[O:18]>>[Br:1][C:2]1[C:3]([NH:28][CH2:27][CH2:26][CH2:25][CH2:24][O:23][C:22]2[CH:29]=[CH:30][CH:31]=[C:20]([N+:17]([O-:19])=[O:18])[CH:21]=2)=[N:4][C:5]([Cl:8])=[N:6][CH:7]=1,"CC#N, CCOC(C)=O, CCN(CC)CC","Solvent, Solvent, Reagent","CC#N, CCN(CC)CC","Solvent, Reagent"
45,41121,[C:1]1([CH2:7][CH2:8][N:9]2[CH2:14][CH2:13][CH2:12][CH:11]([NH:15][C:16]3[N:17]=[CH:18][C:19]([CH:22]=[CH:23][C:24]([NH:26][O:27]C4CCCCO4)=[O:25])=[N:20][CH:21]=3)[CH2:10]2)[CH:6]=[CH:5][CH:4]=[CH:3][CH:2]=1>>[OH:27][NH:26][C:24](=[O:25])[CH:23]=[CH:22][C:19]1[CH:18]=[N:17][C:16]([NH:15][CH:11]2[CH2:12][CH2:13][CH2:14][N:9]([CH2:8][CH2:7][C:1]3[CH:6]=[CH:5][CH:4]=[CH:3][CH:2]=3)[CH2:10]2)=[CH:21][N:20]=1,"CCO, Cl","Solvent, Reagent","CO, Cl","Solvent, Reagent"
46,4237,[CH2:1]([O:3][C:4]1[C:8]([CH2:9][CH2:10][C:11]([O:13]CC)=[O:12])=[CH:7][N:6]([CH2:16][C:17]2[CH:22]=[CH:21][C:20]([O:23][CH2:24][C:25]3[N:26]=[C:27]([C:31]4[CH:36]=[CH:35][CH:34]=[CH:33][CH:32]=4)[O:28][C:29]=3[CH3:30])=[CH:19][N:18]=2)[N:5]=1)[CH3:2]>>[CH2:1]([O:3][C:4]1[C:8]([CH2:9][CH2:10][C:11]([OH:13])=[O:12])=[CH:7][N:6]([CH2:16][C:17]2[CH:22]=[CH:21][C:20]([O:23][CH2:24][C:25]3[N:26]=[C:27]([C:31]4[CH:32]=[CH:33][CH:34]=[CH:35][CH:36]=4)[O:28][C:29]=3[CH3:30])=[CH:19][N:18]=2)[N:5]=1)[CH3:2],"CCO, [Na+].[OH-], Cl, C1CCOC1","Solvent, Reagent, Reagent, Reagent","CCO, [Na+].[OH-], Cl","Solvent, Reagent, Reagent"
47,43080,C(OC(=O)[NH:7][CH2:8][CH:9]1[CH2:11][CH:10]1[C:12]1[CH:17]=[CH:16][CH:15]=[CH:14][C:13]=1[NH:18][C:19](=[O:26])[C:20]1[CH:25]=[CH:24][CH:23]=[CH:22][CH:21]=1)(C)(C)C>>[NH2:7][CH2:8][CH:9]1[CH2:11][CH:10]1[C:12]1[CH:17]=[CH:16][CH:15]=[CH:14][C:13]=1[NH:18][C:19](=[O:26])[C:20]1[CH:21]=[CH:22][CH:23]=[CH:24][CH:25]=1,"ClCCl, Cl, O=C(O)C(F)(F)F, CCOCC","Solvent, Reagent, Reagent, Reagent","ClCCl, CCOC(C)=O.Cl","Solvent, Reagent"
48,61082,[Si](C=[N+]=[N-])(C)(C)[CH3:2].[OH:8][CH:9]1[CH2:13][O:12][CH:11]2[CH:14]([O:17][C:18]3[N:19]([CH2:49][O:50][CH2:51][CH2:52][Si:53]([CH3:56])([CH3:55])[CH3:54])[C:20]4[C:21]([N:48]=3)=[N:22][C:23]([C:27]3[CH:32]=[CH:31][C:30]([C:33]5[N:38]=[CH:37][C:36]([N:39]6[CH:43]=[C:42]([CH2:44][C:45]([OH:47])=[O:46])[CH:41]=[N:40]6)=[CH:35][CH:34]=5)=[CH:29][CH:28]=3)=[C:24]([Cl:26])[CH:25]=4)[CH2:15][O:16][CH:10]12>>[OH:8][CH:9]1[CH2:13][O:12][CH:11]2[CH:14]([O:17][C:18]3[N:19]([CH2:49][O:50][CH2:51][CH2:52][Si:53]([CH3:55])([CH3:54])[CH3:56])[C:20]4[C:21]([N:48]=3)=[N:22][C:23]([C:27]3[CH:32]=[CH:31][C:30]([C:33]5[N:38]=[CH:37][C:36]([N:39]6[CH:43]=[C:42]([CH2:44][C:45]([O:47][CH3:2])=[O:46])[CH:41]=[N:40]6)=[CH:35][CH:34]=5)=[CH:29][CH:28]=3)=[C:24]([Cl:26])[CH:25]=4)[CH2:15][O:16][CH:10]12,"CO, ClCCl","Solvent, Solvent",CO,Solvent
49,67080,[NH2:1][CH:2]1[CH2:7][CH2:6][N:5]([CH2:8][CH:9]2[N:19]3[C:20]4[N:11]([C:12](=[O:22])[CH:13]=[CH:14][C:15]=4[N:16]=[CH:17][C:18]3=[O:21])[CH2:10]2)[CH2:4][CH2:3]1.[S:23]1[C:31]2[CH:30]=[C:29]([CH:32]=O)[N:28]=[CH:27][C:26]=2[O:25][CH2:24]1.C(Cl)(Cl)[Cl:49]>>[S:23]1[C:31]2[CH:30]=[C:29]([CH2:32][NH:1][CH:2]3[CH2:7][CH2:6][N:5]([CH2:8][CH:9]4[N:19]5[C:20]6[N:11]([C:12](=[O:22])[CH:13]=[CH:14][C:15]=6[N:16]=[CH:17][C:18]5=[O:21])[CH2:10]4)[CH2:4][CH2:3]3)[N:28]=[CH:27][C:26]=2[O:25][CH2:24]1,"CC(=O)O[BH-](OC(C)=O)OC(C)=O.[Na+], CO.ClC(Cl)Cl","Reagent, Reagent","CO, CC(=O)O[BH-](OC(C)=O)OC(C)=O.[Na+]","Solvent, Reagent"
